epoch,accuracy,loss,val_accuracy,val_loss
0,0.4904513955116272,1.5241299867630005,0.6484375,1.053321123123169
1,0.7508680820465088,0.7992349863052368,0.75,0.8488519787788391
2,0.8480902910232544,0.5381858348846436,0.8125,0.645500898361206
3,0.9244791865348816,0.3747318387031555,0.84375,0.5910700559616089
4,0.9427083134651184,0.2701503336429596,0.8671875,0.5073859691619873
5,0.9635416865348816,0.22422729432582855,0.890625,0.41555696725845337
6,0.9782986044883728,0.17270886898040771,0.8671875,0.4822564125061035
7,0.9661458134651184,0.19077245891094208,0.890625,0.44700732827186584
8,0.9774305820465088,0.1520077884197235,0.8984375,0.37967249751091003
9,0.9730902910232544,0.16062456369400024,0.859375,0.6221205592155457
10,0.9661458134651184,0.18755975365638733,0.9140625,0.386077880859375
11,0.9895833134651184,0.12058615684509277,0.8984375,0.45629239082336426
12,0.9887152910232544,0.10491157323122025,0.9296875,0.3604649007320404
13,0.9956597089767456,0.08399119228124619,0.9453125,0.3086528778076172
14,0.9991319179534912,0.07568928599357605,0.9375,0.31558236479759216
15,0.9965277910232544,0.07071665674448013,0.9453125,0.31413155794143677
16,0.9991319179534912,0.06629964709281921,0.921875,0.3218753933906555
17,0.9973958134651184,0.06557857245206833,0.9140625,0.3466992974281311
18,0.9756944179534912,0.12175377458333969,0.8515625,0.5589199662208557
19,0.9626736044883728,0.19106334447860718,0.84375,0.45768508315086365
20,0.9791666865348816,0.15722638368606567,0.90625,0.3966815173625946
21,0.9574652910232544,0.18398119509220123,0.859375,0.4576488435268402
22,0.9817708134651184,0.11780064553022385,0.875,0.4270647168159485
23,0.9930555820465088,0.09995172172784805,0.9296875,0.32526981830596924
24,1.0,0.058821115642786026,0.9453125,0.2841096520423889
25,1.0,0.050564900040626526,0.9453125,0.2838762402534485
26,1.0,0.046834517270326614,0.921875,0.2864261269569397
27,1.0,0.044998571276664734,0.9375,0.2802276015281677
28,1.0,0.04289081692695618,0.9453125,0.27291780710220337
29,1.0,0.040973320603370667,0.9453125,0.2604237198829651
